method_code,method_class,preferred_name_en,preferred_name_zh,inputs,model_family_or_operation,scientific_role,manuscript_use,governance_label,required_reporting,prohibited_interpretation,authoritative_source
B0,reference baseline,Kaplan–Meier constant-risk baseline,Kaplan–Meier 常数风险基线,Survival outcome only,Kaplan–Meier estimate converted to a constant 24-month risk,Event-rate/reference baseline,Supplement; brief Methods definition when needed,Prespecified development baseline,Do not treat chance-level discrimination as a fitted clinical model.,No patient-specific stratification.,configs/phase3_baselines.json
B1,clinical baseline,Clinical Cox proportional-hazards model,临床 Cox 比例风险模型,Clinical variables,Cox proportional-hazards model,Conventional linear clinical baseline,Supplement; Methods model catalogue,Prespecified development baseline,Use “clinical” before the model name at first use.,Not the clinical anchor unless explicitly discussing B2.,configs/phase3_baselines.json
B2,clinical anchor,Clinical elastic-net Cox anchor,临床弹性网 Cox 锚点,Clinical variables,Elastic-net Cox survival model,Primary clinical anchor for every incremental-value claim,Main text and Supplement,Prespecified/frozen,All B6/B7 incremental claims must name B2 as the clinical anchor.,Do not call it universally optimal or clinically validated.,configs/phase3_baselines.json; configs/phase4_trust_hn.json
B3,clinical nonlinear reference,Clinical random survival forest,临床随机生存森林,Clinical variables,Random survival forest,Nonlinear clinical reference and model-disagreement component,Supplement; concise Methods mention,Prespecified development baseline,Distinguish it from B2 clinical anchor.,Do not rename as an external comparator.,configs/phase3_baselines.json; configs/phase4_trust_hn.json
B4,modality-only baseline,Additional-modality-only elastic-net Cox model,附加模态单独弹性网 Cox 模型,Additional modality only,Elastic-net Cox survival model,Tests prognostic information in the added modality without clinical fusion,Supplement; selected main-table values if narratively necessary,Prespecified/frozen where modality available,Name the cohort-specific modality when reporting.,Do not infer modality-specific biology from predictive performance.,configs/phase3_baselines.json
B5,direct forced-fusion comparator,Direct clinical-plus-modality elastic-net Cox model,临床与附加模态直接强制融合弹性网 Cox 模型,Clinical plus additional-modality features,Direct concatenation (early fusion) elastic-net Cox,Forced-fusion comparator,Supplement; concise Methods/main comparison when needed,Prespecified/frozen,Preferred short description: direct forced fusion or direct concatenation.,Do not conflate B5 with B6 or the full TRUST-HN framework.,configs/phase3_baselines.json; configs/phase4_trust_hn.json
B6,TRUST-HN fusion model,TRUST-HN stacked residual fusion,TRUST-HN 堆叠残差融合,Cross-fitted B2 clinical-anchor score plus training-derived modality representation,Elastic-net Cox stacked residual survival learner,Tests conditional incremental multimodal value while always emitting an augmented prediction,Main text and Supplement,Prespecified/frozen,"State that B6 is stacked residual fusion, not a fixed-coefficient Cox offset; compare with B2/B5 using the specified analysis.","Do not call B6 a universal model, a strict offset model, or the reliability gate.",configs/phase4_trust_hn.json; src/trust_hn/models/residual_fusion.py
B7,TRUST-HN selective layer,TRUST-HN reliability-gated selective prediction,TRUST-HN 可靠性门控选择性预测,"B2/B6 risks, outcome-free reliability components, modality availability, frozen thresholds",AUGMENT with B6; FALLBACK to B2; ABSTAIN with no emitted risk,"Makes forced-fusion risk, fallback, and abstention auditable",Main text and Supplement,Prespecified 90% primary profile; 80% and 100% sensitivity profiles,Always report non-abstained coverage; direct comparisons use the identical non-abstained subset and evaluated n.,Do not call actions clinical decisions or the 90% profile a safety/deployment threshold.,configs/phase4_trust_hn.json; configs/phase6_evaluation.json; src/trust_hn/reliability/gating.py
M0,audit control,Missingness-indicator-only control,仅缺失指示器对照,Predictor missingness indicators only,Elastic-net Cox control; may reduce to B0 when no indicator varies,Audits whether missingness alone carries prognostic signal,Supplement,Prespecified audit control,Describe degenerate/no-variation cases explicitly.,Not a competitive multimodal model.,configs/phase3_baselines.json
N0,negative control,Outcome-independent permuted-modality negative control,结局独立的模态置换阴性对照,Clinical context with outcome-independent row-permuted modality according to frozen implementation,Negative-control fusion analysis,Tests whether observed gain is reproduced after modality-patient correspondence is broken,Supplement; main text only as falsification evidence,Prespecified negative control,Use “outcome-independent”; report the exact control assay where applicable.,Failure to differ does not establish modality-specific biology.,configs/phase3_baselines.json
C1,additional comparator,Gradient boosting survival analysis direct fusion,梯度提升生存分析直接融合,Direct clinical-plus-modality features,GradientBoostingSurvivalAnalysis with Cox loss,Additional nonlinear direct-fusion comparator,Minimal main-text result only if needed; full Supplement,Phase 7 post hoc exploratory,Every substantive mention must include “post hoc exploratory”.,"Not prespecified, locked, confirmatory, or proof of superiority.",configs/phase7_exploratory_benchmarks.json
